Codigo_distrito,Nombre_distrito,Nombre_barrio,Nombre_calle,Dia_semana,Descripcion_tipo_dia,Descripcion_turno,Numero_muertos,Numero_lesionados_leves,Numero_lesionados_graves,Numero_victimas,Numero_vehiculos_implicados,Longitud,Latitud,fecha
3,Sants-Montjuïc,la Marina del Prat Vermell,A Zona Franca                                     ,Dc,Laboral,Matí,0,0,0,0,1,2.144778,41.343214,2018-10-31 06:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,A                                                 ,Ds,Laboral,Tarda,0,0,0,0,1,2.144778,41.343214,2018-05-26 14:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,A Zona Franca                                     ,Dc,Laboral,Matí,0,0,0,0,1,2.144778,41.343214,2018-08-01 06:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,A Zona Franca                                     ,Dm,Laboral,Matí,0,0,0,0,1,2.144778,41.343214,2018-10-09 06:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Litoral (Besòs)                                   ,Dl,Laboral,Nit,1,0,1,2,2,2.1288259999999997,41.342475,2018-04-23 03:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,B-10 (Llobregat)                                  ,Dc,Laboral,Tarda,0,0,0,0,1,2.134155,41.344516999999996,2018-02-21 20:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Número 1 Zona Franca / A Zona Franca              ,Dl,Laboral,Matí,0,1,0,1,2,2.14584,41.344353000000005,2018-01-22 11:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,A Zona Franca / Número 1 Zona Franca              ,Dm,Laboral,Matí,0,1,0,1,2,2.14584,41.344353000000005,2018-01-09 09:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Litoral (Besòs)                                   ,Dv,Laboral,Tarda,0,1,0,1,2,2.133152,41.344008,2018-07-06 17:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Motors                                            ,Ds,Laboral,Tarda,0,0,1,1,1,2.128749,41.345135,2018-07-28 21:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Motors                                            ,Dl,Laboral,Matí,0,1,0,1,2,2.128677,41.345553,2018-06-11 07:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,B-10 (Besòs)                                      ,Dl,Laboral,Matí,0,0,0,0,2,2.136396,41.345159,2018-03-19 10:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Litoral (Besòs)                                   ,Dj,Laboral,Tarda,0,1,0,1,3,2.134234,41.344390999999995,2018-06-21 18:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Litoral (Besòs)                                   ,Dj,Laboral,Tarda,0,3,0,3,4,2.136396,41.345159,2018-07-05 17:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Litoral (Besòs)                                   ,Ds,Laboral,Nit,0,0,0,0,1,2.136396,41.345159,2018-01-06 02:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Litoral (Besòs)                                   ,Dj,Laboral,Tarda,0,1,0,1,3,2.137491,41.345521999999995,2018-10-11 16:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Litoral (Besòs)                                   ,Dc,Laboral,Matí,0,2,0,2,3,2.141785,41.347103000000004,2018-01-24 06:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Litoral (Besòs)                                   ,Dc,Laboral,Tarda,0,1,0,1,2,2.138572,41.345908,2018-05-23 17:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Motors                                            ,Ds,Laboral,Nit,0,0,0,0,1,2.132063,41.3468,2018-01-13 01:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Litoral (Besòs)                                   ,Dj,Laboral,Tarda,0,1,0,1,3,2.154434,41.351715999999996,2018-02-01 20:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,B-10 (Besòs)                                      ,Dv,Laboral,Nit,0,0,0,0,1,2.140734,41.346676,2018-04-06 00:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Número 62 Zona Franca / A Zona Franca             ,Dc,Laboral,Nit,0,1,0,1,2,2.145506,41.347798,2018-10-03 05:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Número 62 Zona Franca / A Zona Franca             ,Dm,Laboral,Matí,0,1,0,1,2,2.145506,41.347798,2018-01-16 12:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Número 62 Zona Franca / A Zona Franca             ,Dl,Laboral,Matí,0,1,0,1,2,2.145506,41.347798,2018-12-10 06:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Número 62 Zona Franca / LLETRA A                  ,Dl,Laboral,Matí,0,1,0,1,2,2.139303,41.344241,2018-01-29 09:00:00
